iter	Logloss
0	0.5862870477
1	0.5008849411
2	0.4368745343
3	0.3832928046
4	0.3368788971
5	0.3105189112
6	0.2819863107
7	0.2600036527
8	0.2420223674
9	0.2271436058
10	0.2166891504
11	0.2062629885
12	0.1977187541
13	0.1913750325
14	0.1865954341
15	0.1819432387
16	0.1778866089
17	0.1731893956
18	0.1696659845
19	0.1671142825
20	0.1649212183
21	0.1627033495
22	0.1609124555
23	0.1589793344
24	0.1563344619
25	0.1551205343
26	0.1533082268
27	0.1519789187
28	0.1506902908
29	0.1499353326
30	0.1491038197
31	0.1480191932
32	0.1469999037
33	0.1463682181
34	0.145583025
35	0.1450181732
36	0.1443373841
37	0.1439555003
38	0.1433052231
39	0.1429253155
40	0.1423926276
41	0.1417690943
42	0.1412644003
43	0.1407326575
44	0.1403341468
45	0.1399632332
46	0.139518175
47	0.1390398245
48	0.1387098532
49	0.1382584048
