iter	Passed	Remaining
0	4	224
1	9	216
2	13	205
3	17	198
4	21	196
5	26	191
6	30	186
7	34	182
8	39	179
9	43	175
10	48	170
11	52	166
12	57	162
13	61	157
14	65	152
15	69	148
16	74	144
17	78	140
18	82	135
19	87	131
20	91	126
21	95	122
22	99	117
23	104	113
24	109	109
25	113	104
26	117	100
27	121	95
28	126	91
29	130	86
30	134	82
31	138	78
32	142	73
33	147	69
34	151	65
35	155	60
36	160	56
37	164	51
38	168	47
39	173	43
40	177	38
41	180	34
42	185	30
43	189	25
44	193	21
45	198	17
46	202	12
47	207	8
48	211	4
49	216	0
